feature_set,n_features,C,penalty,class_weight_name,auc,pr_auc,top30_cutoff,top30_flagged,top30_precision,top30_recall,top30_balanced_acc
refined_behavior_plus_named_events,29,0.2,l2,pos_4,0.9347389558232931,0.8745082402977141,0.23210244846065922,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior_plus_named_events,29,0.1,l2,pos_4,0.9337349397590362,0.8650450244200244,0.28970292495891564,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior_plus_named_events,29,0.05,l2,pos_4,0.9337349397590361,0.8470748139180343,0.3482111894613252,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior_plus_named_events,29,0.1,l2,pos_7,0.9327309236947791,0.8748612705702258,0.3142341810316391,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior_plus_named_events,29,0.2,l2,balanced,0.9327309236947791,0.8748612705702258,0.30619145274317877,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior_plus_named_events,29,0.5,l2,pos_4,0.9317269076305221,0.8687207271572598,0.16582472628825426,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
lean_behavior,13,0.03,l2,pos_4,0.9317269076305221,0.8480701754385965,0.42056834059777753,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior_plus_named_events,29,0.1,l2,balanced,0.929718875502008,0.8661158493248046,0.3716769581419459,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior_plus_named_events,29,0.2,l2,pos_7,0.929718875502008,0.8641259067729657,0.2647579049043584,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior_plus_named_events,29,0.5,l2,balanced,0.929718875502008,0.8641259067729657,0.22729826911597426,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior_plus_named_events,29,0.5,l2,pos_7,0.929718875502008,0.8594902646373236,0.18190496610850962,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior_plus_named_events,29,0.05,l2,balanced,0.929718875502008,0.8447275171065495,0.4199196372339595,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
lean_behavior,13,0.03,l2,balanced,0.929718875502008,0.8438930659983291,0.47582253242409345,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior_plus_named_events,29,1.0,l2,pos_4,0.9297188755020079,0.8597909739214088,0.12229411791337774,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior_plus_named_events,29,1.0,l2,pos_7,0.9297188755020079,0.8597909739214088,0.13676992988377865,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior_plus_named_events,29,0.03,l2,pos_7,0.9297188755020079,0.8484397546897547,0.41730247450201646,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior_plus_named_events,29,1.0,l2,balanced,0.928714859437751,0.854911510058569,0.17187004006111603,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior_plus_named_events,29,0.05,l2,pos_7,0.927710843373494,0.8626436271025825,0.3823934044655396,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
lean_behavior,13,0.2,l2,pos_4,0.927710843373494,0.8612811700283903,0.2785737010185051,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
lean_behavior,13,0.5,l2,pos_4,0.927710843373494,0.8566965518601807,0.1941854108125277,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
lean_behavior,13,0.5,l2,balanced,0.9267068273092369,0.8527282978919267,0.2888973243126458,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
lean_behavior,13,0.05,l2,pos_4,0.9267068273092369,0.8525986676721972,0.3986846003273993,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
lean_behavior,13,1.0,l2,balanced,0.9257028112449799,0.8516932413991237,0.226236570202027,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
lean_behavior,13,1.0,l2,pos_4,0.9257028112449799,0.8516932413991237,0.16176008263147712,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
lean_behavior,13,0.03,l2,pos_7,0.9257028112449799,0.8498753561253561,0.4569827433965992,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior_plus_named_events,29,0.03,l2,pos_4,0.9257028112449799,0.8117751442546526,0.38962420413194315,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
lean_behavior,13,0.2,l2,pos_7,0.924698795180723,0.8492619392591595,0.3167630401534162,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
lean_behavior,13,1.0,l2,pos_7,0.9246987951807228,0.8486975986975988,0.19869655754725077,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
lean_behavior,13,0.5,l2,pos_7,0.9246987951807228,0.8477249874308698,0.23418653372376674,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
lean_behavior,13,0.05,l2,balanced,0.9236947791164659,0.8459109311740892,0.45715078163606376,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior_plus_named_events,29,0.03,l2,balanced,0.9236947791164658,0.8101725801520884,0.44769775925605154,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
lean_behavior,13,0.1,l2,pos_4,0.9226907630522088,0.8545716460100022,0.33882159596297523,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
lean_behavior,13,0.1,l2,pos_7,0.9226907630522088,0.8545716460100022,0.3796641519422632,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
