feature_set,n_features,C,penalty,class_weight_name,auc,pr_auc,top30_cutoff,top30_flagged,top30_precision,top30_recall,top30_balanced_acc,outer_fold
refined_behavior_plus_named_events,29,0.1,l2,pos_4,0.9265232974910393,0.845959595959596,0.35050777010577294,22,0.36363636363636365,0.8888888888888888,0.8315412186379928,1
refined_behavior_plus_named_events,29,0.05,l2,pos_4,0.921146953405018,0.8287037037037037,0.42963305202815605,22,0.3181818181818182,0.7777777777777778,0.7679211469534051,1
refined_behavior_plus_named_events,29,0.2,l2,pos_4,0.9157706093189963,0.8382816014394963,0.30743593616399817,22,0.3181818181818182,0.7777777777777778,0.7679211469534051,1
refined_behavior_plus_named_events,29,0.05,l2,pos_4,0.9211469534050178,0.7867539930626035,0.4207741497283134,22,0.3181818181818182,0.7777777777777778,0.7679211469534051,2
refined_behavior_plus_named_events,29,0.1,l2,pos_4,0.9157706093189963,0.7843692553837482,0.37011249583812633,22,0.3181818181818182,0.7777777777777778,0.7679211469534051,2
refined_behavior_plus_named_events,29,0.2,l2,pos_4,0.9139784946236559,0.7847399514066182,0.31963522309337067,22,0.36363636363636365,0.8888888888888888,0.8315412186379928,2
refined_behavior_plus_named_events,29,0.2,l2,pos_4,0.9695340501792115,0.8670033670033672,0.21533116821068413,22,0.4090909090909091,1.0,0.8951612903225806,3
refined_behavior_plus_named_events,29,0.1,l2,pos_4,0.9695340501792115,0.8670033670033672,0.27766622754716086,22,0.4090909090909091,1.0,0.8951612903225806,3
refined_behavior_plus_named_events,29,0.05,l2,pos_4,0.9677419354838709,0.8511303511303512,0.3577053390599816,22,0.4090909090909091,1.0,0.8951612903225806,3
refined_behavior_plus_named_events,29,0.1,l2,pos_4,0.8977072310405644,0.7065854315854316,0.35475031579108146,22,0.3181818181818182,0.7777777777777778,0.7698412698412698,4
refined_behavior_plus_named_events,29,0.05,l2,pos_4,0.8959435626102293,0.6159708193041527,0.4063924665330323,22,0.3181818181818182,0.7777777777777778,0.7698412698412698,4
refined_behavior_plus_named_events,29,0.2,l2,pos_4,0.8888888888888888,0.6861111111111111,0.28919969505968646,22,0.3181818181818182,0.7777777777777778,0.7698412698412698,4
refined_behavior_plus_named_events,29,0.2,l2,pos_4,0.9874551971326164,0.9513888888888891,0.24398248164977296,22,0.4090909090909091,1.0,0.8951612903225806,5
refined_behavior_plus_named_events,29,0.1,l2,pos_4,0.985663082437276,0.9477124183006538,0.3093841996962559,22,0.4090909090909091,1.0,0.8951612903225806,5
refined_behavior_plus_named_events,29,0.05,l2,pos_4,0.9820788530465949,0.9320987654320989,0.3892041329320015,22,0.4090909090909091,1.0,0.8951612903225806,5
refined_behavior_plus_named_events,29,0.05,l2,pos_4,0.9301075268817204,0.7635285738226913,0.3788860347601648,22,0.36363636363636365,0.8888888888888888,0.8315412186379928,6
refined_behavior_plus_named_events,29,0.1,l2,pos_4,0.9247311827956989,0.7723372723372722,0.3148114564587627,22,0.36363636363636365,0.8888888888888888,0.8315412186379928,6
refined_behavior_plus_named_events,29,0.2,l2,pos_4,0.9086021505376345,0.7476179965419563,0.24948094379255187,23,0.34782608695652173,0.8888888888888888,0.8234767025089605,6
refined_behavior_plus_named_events,29,0.2,l2,pos_4,0.8763440860215054,0.7568757975734721,0.33085374440625004,23,0.30434782608695654,0.7777777777777778,0.7598566308243728,7
refined_behavior_plus_named_events,29,0.1,l2,pos_4,0.8673835125448028,0.742220890390227,0.3616881475667003,22,0.3181818181818182,0.7777777777777778,0.7679211469534051,7
refined_behavior_plus_named_events,29,0.05,l2,pos_4,0.8584229390681003,0.7285769980506824,0.40691965419664405,22,0.3181818181818182,0.7777777777777778,0.7679211469534051,7
refined_behavior_plus_named_events,29,0.05,l2,pos_4,0.9259259259259259,0.7509993622047952,0.40529150177789525,22,0.36363636363636365,0.8888888888888888,0.8333333333333333,8
refined_behavior_plus_named_events,29,0.2,l2,pos_4,0.9171075837742504,0.7557785351902999,0.32929971753170173,22,0.36363636363636365,0.8888888888888888,0.8333333333333333,8
refined_behavior_plus_named_events,29,0.1,l2,pos_4,0.9171075837742504,0.7465190754664439,0.3664007089971408,22,0.36363636363636365,0.8888888888888888,0.8333333333333333,8
refined_behavior_plus_named_events,29,0.05,l2,pos_4,0.9193548387096775,0.8172134038800707,0.3735821851329767,23,0.30434782608695654,0.7777777777777778,0.7598566308243728,9
refined_behavior_plus_named_events,29,0.1,l2,pos_4,0.9175627240143369,0.8404558404558404,0.3346427455819717,22,0.3181818181818182,0.7777777777777778,0.7679211469534051,9
