device_label,split_segment,channel_segment,early_tracked_events,early_actions,deliberate_share,later_active,best_grid_score,nested_top3_score
D065,저밀도+의도행동 없음,메인·웹만,6,0,0.0,False,0.21187323756394882,0.3105801115623975
D066,저밀도+의도행동 없음,토스 관측,16,0,0.0,False,0.19100043367705055,0.2256496032763032
D067,고밀도+의도행동 적음,토스 관측,61,5,0.081967213114754,False,0.7015295085049489,0.7076790664121153
D068,고밀도+의도행동 많음,토스 관측,90,38,0.4222222222222222,False,0.5717079793910445,0.5320276419256026
D069,저밀도+의도행동 없음,토스 관측,11,0,0.0,False,0.1900070994995394,0.25199690195371904
D070,저밀도+의도행동 없음,토스 관측,13,0,0.0,False,0.18128285134682243,0.27284662866101406
D071,저밀도+의도행동 없음,메인·웹만,5,0,0.0,False,0.15659394204615712,0.20740550813086173
D072,고밀도+의도행동 적음,메인·웹만,28,0,0.0,True,0.9728181447060417,0.966120614395901
D073,저밀도+의도행동 없음,메인·웹만,6,0,0.0,False,0.2308423267444869,0.267694026357973
D074,고밀도+의도행동 적음,토스 관측,20,2,0.1,False,0.10966614651442735,0.19265573508593686
D075,저밀도+의도행동 없음,메인·웹만,5,0,0.0,False,0.16704344884572275,0.1944414650196185
D076,고밀도+의도행동 많음,토스 관측,52,7,0.1346153846153846,False,0.6114256812376638,0.5799078487943261
D077,저밀도+의도행동 없음,메인·웹만,7,0,0.0,False,0.32569290534485584,0.3333599800215944
D078,저밀도+의도행동 없음,메인·웹만,5,0,0.0,False,0.1593376123818336,0.19603450844188267
D079,고밀도+의도행동 많음,토스 관측,49,15,0.3061224489795918,False,0.19040082976267608,0.2442180189453437
D080,고밀도+의도행동 적음,토스 관측,23,3,0.1304347826086956,False,0.2610309342400827,0.32550779842563266
D081,저밀도+의도행동 없음,메인·웹만,6,0,0.0,False,0.21642468729112582,0.23811030368773706
D082,저밀도+의도행동 없음,메인·웹만,4,0,0.0,False,0.05648390241320602,0.08999362430504002
D083,저밀도+의도행동 없음,메인·웹만,5,0,0.0,False,0.09384197156475621,0.14099256857925427
D084,고밀도+의도행동 많음,토스 관측,51,17,0.3333333333333333,False,0.06956100309869648,0.13127245393038445
D085,저밀도+의도행동 없음,메인·웹만,4,0,0.0,False,0.051907025833769306,0.09535723550185832
D086,저밀도+의도행동 없음,토스 관측,19,0,0.0,False,0.2155495703158751,0.26789415901178826
D087,저밀도+의도행동 없음,메인·웹만,3,0,0.0,False,0.030439641889131844,0.06395759960045654
D088,저밀도+의도행동 없음,토스 관측,14,0,0.0,False,0.19884778239445716,0.21618587804049177
D089,고밀도+의도행동 적음,토스 관측,28,4,0.1428571428571428,False,0.17207109955975378,0.2606696504189547
D090,고밀도+의도행동 많음,토스 관측,58,18,0.3103448275862069,False,0.1693009251338296,0.2425696214487268
D091,저밀도+의도행동 없음,토스 관측,12,0,0.0,False,0.18093259327390404,0.22832581109021363
D092,저밀도+의도행동 없음,토스 관측,6,0,0.0,False,0.08008316686466953,0.11829663859352499
D093,저밀도+의도행동 있음,토스 관측,19,1,0.0526315789473684,False,0.17022643987081088,0.23246949399628272
D094,저밀도+의도행동 없음,메인·웹만,5,0,0.0,False,0.1659160456661407,0.23560699437995378
D095,저밀도+의도행동 없음,메인·웹만,5,0,0.0,False,0.16986963570707933,0.21968226489676349
