outer_fold,feature_set,C,penalty,class_weight_name,inner_auc,inner_pr_auc
70,refined_behavior_plus_named_events,0.1,l2,pos_4,0.9068100358422939,0.8156328320802007
71,refined_behavior_plus_named_events,0.2,l2,pos_4,0.9731182795698924,0.8919753086419755
72,refined_behavior_plus_named_events,0.05,l2,pos_4,0.9223985890652557,0.7481481481481482
73,refined_behavior_plus_named_events,0.2,l2,pos_4,0.9838709677419355,0.9083333333333334
74,refined_behavior_plus_named_events,0.05,l2,pos_4,0.9372759856630825,0.7793099647266315
75,refined_behavior_plus_named_events,0.2,l2,pos_4,0.899641577060932,0.7577819006390436
76,refined_behavior_plus_named_events,0.1,l2,pos_4,0.9153439153439153,0.8392050587172539
77,refined_behavior_plus_named_events,0.1,l2,pos_4,0.899641577060932,0.8011866908925733
78,refined_behavior_plus_named_events,0.2,l2,pos_4,0.9856630824372761,0.9188983855650523
79,refined_behavior_plus_named_events,0.05,l2,pos_4,0.9498207885304658,0.8517331433998101
80,refined_behavior_plus_named_events,0.1,l2,pos_4,0.9029982363315697,0.7268518518518519
