game,variant,testers,attempts,success,fail,pooled_rate,mean_rate,median_rate
fishing,beta_A,5,229.0,224.0,5.0,0.9781659388646288,0.9784344759882195,0.972972972972973
fishing,beta_B,4,353.0,343.0,10.0,0.9716713881019831,0.9768454307289258,0.9854368932038835
mist,beta_A,5,162.0,89.0,73.0,0.5493827160493827,0.6272063340386322,0.6923076923076923
mist,beta_B,2,112.0,66.0,46.0,0.5892857142857143,0.6923076923076923,0.6923076923076923
sea,beta_A,3,25.0,14.0,11.0,0.56,0.4888888888888889,0.6
sea,beta_B,3,27.0,11.0,16.0,0.4074074074074074,0.4404040404040404,0.45454545454545453
