variant,key,activity_key,users,n
beta_A,move_outdoor,True,3,23.0
beta_B,boat_hit,True,3,22.0
beta_B,boat_enter,True,3,20.0
beta_B,house_addon_buy,True,3,19.0
beta_A,guide_section,True,3,17.0
beta_B,boat_exit,True,3,17.0
beta_B,gift_give,True,3,17.0
beta_B,sea_miss,True,3,16.0
beta_A,sea_catch,True,3,14.0
beta_A,sea_miss,True,3,11.0
beta_B,sea_catch,True,3,11.0
beta_B,owl_special_deliver,True,3,10.0
beta_A,coop_collect,True,3,8.0
beta_B,coop_collect,True,3,8.0
beta_A,cafe_complete,True,3,7.0
beta_A,carve_result,True,3,7.0
beta_A,carve_start,True,3,7.0
beta_A,photo_capture,True,3,7.0
beta_A,sea_enter,True,3,7.0
beta_B,cook_eat,True,3,7.0
beta_A,sea_exit,True,3,6.0
beta_B,house_expand,True,3,6.0
beta_B,night_visit,True,3,6.0
beta_A,dex_open,True,3,5.0
beta_A,fishing_miss,True,3,5.0
beta_A,museum_view_open,True,3,5.0
beta_B,merchant_visit,True,3,5.0
beta_A,guide_open,True,3,4.0
beta_A,intro_skip,True,3,3.0
beta_B,sea_enter,True,3,3.0
beta_B,sea_exit,True,3,3.0
beta_B,dig_plot,True,2,99.0
beta_B,mist_soothe,True,2,66.0
beta_B,museum_exhibit_view,True,2,65.0
beta_B,mist_soothe_miss,True,2,46.0
beta_B,leaderboard_open,True,2,32.0
beta_B,guide_section,True,2,29.0
beta_B,pick_outdoor,True,2,27.0
beta_B,move_outdoor,True,2,24.0
beta_B,shop_buy,True,2,22.0
beta_B,mist_wave,True,2,20.0
beta_B,feedback_submit,True,2,17.0
beta_B,notice_page,True,2,14.0
beta_B,mist_lantern,True,2,12.0
beta_B,dex_open,True,2,10.0
beta_B,fishing_miss,True,2,10.0
beta_B,mist_end,True,2,9.0
beta_B,mist_purify_start,True,2,9.0
beta_B,cook_store,True,2,8.0
beta_B,map_locked,True,2,8.0
beta_B,cafe_guests_generated,True,2,7.0
beta_A,house_addon_buy,True,2,6.0
beta_A,mist_practice_miss,True,2,6.0
beta_B,dig_expire,True,2,6.0
beta_B,mist_practice_miss,True,2,5.0
beta_B,night_trace,True,2,5.0
beta_A,cook_store,True,2,4.0
beta_B,mist_enter,True,2,4.0
beta_B,mist_exit,True,2,4.0
beta_B,museum_enter,True,2,4.0
beta_B,museum_exit,True,2,4.0
beta_A,mist_practice_offer,True,2,3.0
beta_B,guide_close,True,2,3.0
beta_B,guide_open,True,2,3.0
beta_B,tutorial_skip,True,2,3.0
beta_A,guide_close,True,2,2.0
beta_A,intro_complete,True,2,2.0
beta_A,merchant_visit,True,2,2.0
beta_A,mist_practice_end,True,2,2.0
beta_A,mist_practice_soothe,True,2,2.0
beta_A,mist_practice_start,True,2,2.0
beta_A,mist_practice_step,True,2,2.0
beta_A,quest_autoskip,True,2,2.0
beta_A,save_load_failed,True,2,2.0
beta_A,save_load_recovered,True,2,2.0
beta_A,starter_bed,True,2,2.0
beta_B,mist_choice,True,2,2.0
beta_B,mist_choice_shown,True,2,2.0
beta_B,mist_practice_end,True,2,2.0
beta_B,mist_practice_soothe,True,2,2.0
beta_B,mist_practice_start,True,2,2.0
beta_B,mist_practice_step,True,2,2.0
beta_B,quest_autoskip,True,2,2.0
beta_B,save_load_failed,True,2,2.0
beta_B,save_load_recovered,True,2,2.0
beta_B,tutorial_complete,True,2,2.0
beta_A,hireboard_open,True,1,13.0
beta_A,shop_buy,True,1,10.0
beta_B,npc_chat_turn,True,1,10.0
beta_A,npc_talk_turn,True,1,6.0
beta_B,boat_shop_open,True,1,6.0
beta_B,hireboard_open,True,1,6.0
beta_B,warehouse_take,True,1,6.0
beta_A,album_open,True,1,5.0
beta_A,boat_upgrade,True,1,5.0
beta_B,use_bait,True,1,5.0
beta_B,worker_offline,True,1,5.0
beta_A,photo_delete,True,1,4.0
beta_B,npc_chat_open,True,1,4.0
beta_A,worker_fire,True,1,3.0
beta_A,worker_hire,True,1,3.0
beta_B,boat_upgrade,True,1,3.0
beta_B,museum_floor,True,1,3.0
beta_B,museum_view_open,True,1,3.0
beta_B,npc_chat_done,True,1,3.0
beta_B,store_decor,True,1,3.0
beta_B,worker_hire,True,1,3.0
beta_A,museum_floor,True,1,2.0
beta_A,npc_talk_done,True,1,2.0
beta_A,npc_talk_open,True,1,2.0
beta_B,farm_expand,True,1,2.0
beta_B,weed_pull,True,1,2.0
beta_B,worker_promote,True,1,2.0
beta_A,cafe_open,True,1,1.0
beta_A,farm_expand,True,1,1.0
beta_A,feedback_submit,True,1,1.0
beta_A,honey_collect,True,1,1.0
beta_A,museum_expand,True,1,1.0
beta_A,photo_share,True,1,1.0
beta_A,photo_upload,True,1,1.0
beta_A,sleep,True,1,1.0
beta_A,tutorial_complete,True,1,1.0
beta_B,album_open,True,1,1.0
beta_B,cafe_open,True,1,1.0
beta_B,character_change,True,1,1.0
beta_B,honey_collect,True,1,1.0
beta_B,intro_skip,True,1,1.0
beta_B,login_screen,True,1,1.0
beta_B,photo_capture,True,1,1.0
beta_B,seed_select,True,1,1.0
beta_B,starter_bed,True,1,1.0
beta_B,use_fert,True,1,1.0
beta_B,worker_wage,True,1,1.0
beta_A,churn_score,False,5,1323.0
beta_B,churn_score,False,5,934.0
beta_B,login,False,5,58.0
beta_A,login,False,5,48.0
beta_B,session_time,False,5,48.0
beta_A,tutorial_step,False,5,44.0
beta_A,diary_open,False,5,36.0
beta_A,session_time,False,5,32.0
beta_A,tut_build,False,5,5.0
beta_A,tut_chop,False,5,5.0
beta_A,tut_enter,False,5,5.0
beta_A,tut_fish,False,5,5.0
beta_A,tut_move,False,5,5.0
beta_A,tut_toolpage,False,5,5.0
beta_B,diary_open,False,4,19.0
beta_B,tutorial_step,False,3,37.0
beta_B,tut_chop,False,3,3.0
beta_B,tut_move,False,3,3.0
beta_B,tut_toolpage,False,3,3.0
beta_A,tut_decor,False,2,2.0
beta_A,tut_seed,False,2,2.0
beta_A,tut_till,False,2,2.0
beta_B,tut_build,False,2,2.0
beta_B,tut_carve,False,2,2.0
beta_B,tut_decor,False,2,2.0
beta_B,tut_dex,False,2,2.0
beta_B,tut_enter,False,2,2.0
beta_B,tut_fish,False,2,2.0
beta_B,tut_harvest,False,2,2.0
beta_B,tut_market,False,2,2.0
beta_B,tut_mine,False,2,2.0
beta_B,tut_quest,False,2,2.0
beta_B,tut_seed,False,2,2.0
beta_B,tut_sell,False,2,2.0
beta_B,tut_till,False,2,2.0
beta_B,tut_water,False,2,2.0
beta_A,tut_carve,False,1,1.0
beta_A,tut_dex,False,1,1.0
beta_A,tut_harvest,False,1,1.0
beta_A,tut_market,False,1,1.0
beta_A,tut_mine,False,1,1.0
beta_A,tut_quest,False,1,1.0
beta_A,tut_sell,False,1,1.0
beta_A,tut_water,False,1,1.0
