model,kind,features,auc,auc_ci_low,auc_ci_high,pr_auc,balanced_acc_at_top_30pct
refined_behavior_plus_named_events,cv_logistic,29,0.927710843373494,0.7927159810126582,0.9989177489177489,0.8493788819875777,0.8498995983935742
refined_behavior,cv_logistic,19,0.9146586345381525,0.7662337662337663,0.9952941176470589,0.8218996883380446,0.8498995983935742
refined_plus_profile,cv_logistic,23,0.9146586345381525,0.7729358288770054,0.9953095684803002,0.8174867724867726,0.8498995983935742
early_tracked_raw_rank,raw_rank_baseline,1,0.8830321285140562,0.7760136418908649,0.9655172413793104,0.6651626228308476,0.8022088353413654
early_actions_raw_rank,raw_rank_baseline,1,0.7605421686746988,0.5889489136320563,0.9162318705259881,0.5543322337181986,0.5
deliberate_share_raw_rank,raw_rank_baseline,1,0.7575301204819277,0.5876618711748022,0.9123563218390804,0.5019220349844705,0.5
channel_raw_rank,raw_rank_baseline,1,0.6044176706827309,0.44418386491557227,0.7414658634538152,0.15804729214340196,0.6044176706827309
majority_prevalence,baseline,0,0.5,0.5,0.5,0.12631578947368421,0.5
