행동,도달 기기,도달률,95% 하한,95% 상한
npc_talk,20,0.40816326530612246,0.2821503460597105,0.5475293002795374
quest_accept,17,0.3469387755102041,0.2292420960931444,0.4868906478056021
first_chop,17,0.3469387755102041,0.2292420960931444,0.4868906478056021
chop_tree,17,0.3469387755102041,0.2292420960931444,0.4868906478056021
plant_seed,16,0.32653061224489793,0.21207321329264214,0.4662105631259371
harvest_crop,11,0.22448979591836735,0.1302483771472861,0.35879056187045744
shop_sell,10,0.20408163265306123,0.11481727042813811,0.33637270110943834
house_complete,9,0.1836734693877551,0.09976228838458358,0.31357871567282575
quest_complete,9,0.1836734693877551,0.09976228838458358,0.31357871567282575
water_crop,8,0.16326530612244897,0.08512596988208977,0.29036606669515236
mine_ore,7,0.14285714285714285,0.07096333720544586,0.2666797318916292
forage_pick,7,0.14285714285714285,0.07096333720544586,0.2666797318916292
mist_purify_start,7,0.14285714285714285,0.07096333720544586,0.2666797318916292
leaderboard_open,7,0.14285714285714285,0.07096333720544586,0.2666797318916292
fishing_catch,6,0.12244897959183673,0.057347477598098245,0.2424466240188096
fishing_cast,6,0.12244897959183673,0.057347477598098245,0.2424466240188096
boat_start,5,0.10204081632653061,0.044378892487039884,0.21756624164970087
dex_open,5,0.10204081632653061,0.044378892487039884,0.21756624164970087
place_decor,5,0.10204081632653061,0.044378892487039884,0.21756624164970087
sea_cast,5,0.10204081632653061,0.044378892487039884,0.21756624164970087
cooking_start,5,0.10204081632653061,0.044378892487039884,0.21756624164970087
cafe_serve,4,0.08163265306122448,0.032202296241712225,0.19189387041486136
photo_capture,4,0.08163265306122448,0.032202296241712225,0.19189387041486136
sea_catch,4,0.08163265306122448,0.032202296241712225,0.19189387041486136
firefly_swing,4,0.08163265306122448,0.032202296241712225,0.19189387041486136
shop_buy,3,0.061224489795918366,0.021039764955529186,0.16520743422087725
carve_start,2,0.04081632653061224,0.011265396927928273,0.13713283476831106
house_expand,2,0.04081632653061224,0.011265396927928273,0.13713283476831106
craft_item,1,0.02040816326530612,0.003611579538530696,0.10693768467754147
fishing_miss,1,0.02040816326530612,0.003611579538530696,0.10693768467754147
