영역,도달 기기,전체 대비 비율,95% 하한,95% 상한
자연·채집,20,0.40816326530612246,0.2821503460597105,0.5475293002795374
낚시·바다,9,0.1836734693877551,0.09976228838458358,0.31357871567282575
퀘스트·교류,20,0.40816326530612246,0.2821503460597105,0.5475293002795374
제작·집,13,0.2653061224489796,0.1621113124514944,0.4026255615265835
고급 콘텐츠,14,0.2857142857142857,0.1784943493972417,0.4240914920610033
