open_no,events,play_delta_mean,play_delta_median,play_up,session_delta_mean,session_up,next_revisit,map_enter_users,map_action_users
first,10,220.67333333333335,-12.149999999999999,3,0.0,2,5,3,3
second,10,-3.796666666666667,7.016666666666667,5,0.1,3,8,5,5
