tester,variant_roster,grp,map_order,diary_days,q3_mean,q3_median,q3_min,q3_max
T01,beta_A,A,mist_first,7,3.0,3.0,3,3
T02,beta_A,A,mist_first,5,2.6,3.0,2,3
T03,beta_A,A,sea_first,3,4.0,4.0,3,5
T04,beta_A,A,sea_first,7,2.857142857142857,3.0,2,3
T05,beta_A,A,sea_first,4,2.5,2.5,2,3
T06,beta_B,B,sea_first,6,2.1666666666666665,2.0,1,3
T07,beta_B,B,mist_first,4,4.5,4.5,4,5
T08,beta_B,B,sea_first,6,3.3333333333333335,3.0,3,4
T09,beta_B,B,mist_first,3,2.6666666666666665,3.0,2,3
