split_segment,later_active,devices,early_events,deliberate_events,median_tracked,median_actions,median_deliberate_share,deliberate_event_share
고밀도+의도행동 많음,False,11,657,241,51.0,17.0,0.3103448275862069,0.3668188736681887
고밀도+의도행동 많음,True,7,1115,615,165.0,88.0,0.5314685314685315,0.5515695067264574
고밀도+의도행동 적음,False,8,235,21,26.0,3.0,0.10172413793103449,0.08936170212765958
고밀도+의도행동 적음,True,3,151,1,28.0,0.0,0.0,0.006622516556291391
저밀도+의도행동 없음,False,62,488,0,6.0,0.0,0.0,0.0
저밀도+의도행동 없음,True,2,26,0,13.0,0.0,0.0,0.0
저밀도+의도행동 있음,False,2,38,2,19.0,1.0,0.05263157894736842,0.05263157894736842
