split_segment,later_active,devices,median_tracked,median_actions,median_deliberate_share,mean_deliberate_share
고밀도+의도행동 많음,False,11,51.0,17.0,0.3103448275862069,0.3294286889674261
고밀도+의도행동 많음,True,7,165.0,88.0,0.5314685314685315,0.4733374280880524
고밀도+의도행동 적음,False,8,26.0,3.0,0.10172413793103449,0.08707980611567752
고밀도+의도행동 적음,True,3,28.0,0.0,0.0,0.0032362459546925564
저밀도+의도행동 없음,False,62,6.0,0.0,0.0,0.0
저밀도+의도행동 없음,True,2,13.0,0.0,0.0,0.0
저밀도+의도행동 있음,False,2,19.0,1.0,0.05263157894736842,0.05263157894736842
