device_label,행동_이벤트,행동_종류,관측_GA_세션_ID,전체_행동_비중
T01,843,28,1,0.2884023263770099
T02,545,20,1,0.18645227505987
T03,389,15,1,0.13308244953814574
T04,331,18,2,0.11323982210058159
T05,258,19,1,0.08826548067054396
T06,205,26,1,0.07013342456380431
T07,85,13,1,0.029079712624016422
T08,55,12,1,0.01881628463906945
T09,47,10,2,0.016079370509750255
T10,38,7,1,0.013000342114266164
