device_label,first_toss_day,device,country_group,acquisition_source,early_actions,early_action_kinds,early_area_count,early_nature_events,early_fishing_sea_events,early_quest_social_events,early_craft_home_events,early_advanced_events,early_connect_fail,early_connect_ok,early_toss_login,early_login_screen,later_actions,later_action_kinds,later_area_count,later_nature_events,later_fishing_sea_events,later_quest_social_events,later_craft_home_events,later_advanced_events,later_new_nature_events,later_new_fishing_sea_events,later_new_quest_social_events,later_new_craft_home_events,later_new_advanced_events,later_active,later_new_area,later_quest_social,later_fishing_sea,later_nature,early_action_segment,early_area_segment,early_connection_segment,feature_boundary_violations,label_boundary_violations
D021,2026-09-06,mobile,South Korea,(direct),21,4,3,19,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,6회 이상,2개 이상,연결 이벤트 없음,0,0
D022,2026-09-05,mobile,South Korea,(direct),0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0회,0개,연결 실패 기록,0,0
D023,2026-09-04,mobile,South Korea,(direct),4,4,1,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,1~5회,1개,연결 성공만 기록,0,0
D024,2026-09-04,mobile,South Korea,(direct),0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0회,0개,연결 성공만 기록,0,0
D025,2026-09-04,mobile,South Korea,(direct),7,2,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,6회 이상,1개,연결 실패 기록,0,0
D026,2026-09-04,mobile,South Korea,(direct),0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0회,0개,연결 성공만 기록,0,0
D027,2026-09-04,mobile,South Korea,(direct),0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0회,0개,연결 성공만 기록,0,0
D028,2026-09-10,mobile,South Korea,(direct),0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0회,0개,연결 실패 기록,0,0
D029,2026-09-04,mobile,South Korea,(direct),0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0회,0개,연결 성공만 기록,0,0
D030,2026-09-04,mobile,South Korea,(direct),0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0회,0개,연결 성공만 기록,0,0
D031,2026-09-05,mobile,South Korea,(direct),5,3,2,0,0,4,0,1,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,1~5회,2개 이상,연결 실패 기록,0,0
D032,2026-09-10,mobile,South Korea,(direct),38,7,4,25,0,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,6회 이상,2개 이상,연결 이벤트 없음,0,0
D033,2026-09-05,mobile,South Korea,(direct),0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0회,0개,연결 성공만 기록,0,0
D034,2026-09-05,mobile,South Korea,(direct),0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0회,0개,연결 실패 기록,0,0
D035,2026-09-11,mobile,South Korea,(direct),2,2,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,1~5회,1개,연결 실패 기록,0,0
D036,2026-09-08,mobile,South Korea,(direct),7,5,3,5,0,1,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,6회 이상,2개 이상,연결 실패 기록,0,0
D037,2026-09-04,mobile,South Korea,(direct),15,6,2,5,0,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,6회 이상,2개 이상,연결 성공만 기록,0,0
D038,2026-09-04,mobile,South Korea,(direct),3,3,2,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,1~5회,2개 이상,연결 성공만 기록,0,0
D039,2026-09-10,mobile,South Korea,(direct),17,3,2,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,6회 이상,2개 이상,연결 이벤트 없음,0,0
D040,2026-09-10,mobile,South Korea,(direct),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0회,0개,연결 이벤트 없음,0,0
D041,2026-09-04,mobile,South Korea,(direct),0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0회,0개,연결 성공만 기록,0,0
D042,2026-09-04,mobile,South Korea,(direct),4,2,1,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,1~5회,1개,연결 성공만 기록,0,0
D043,2026-09-09,mobile,South Korea,(direct),18,9,4,9,0,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,6회 이상,2개 이상,연결 이벤트 없음,0,0
D044,2026-09-04,mobile,South Korea,(direct),0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0회,0개,연결 성공만 기록,0,0
D045,2026-09-09,mobile,South Korea,(direct),0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0회,0개,연결 실패 기록,0,0
D046,2026-09-05,mobile,South Korea,(direct),1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,1~5회,1개,연결 성공만 기록,0,0
