라벨 후보,설명,양성 기기,전체 기기,양성률,95% 하한,95% 상한,modeling_readiness_flag
후속 의도적 행동,전체 후속 행동,8,46,0.17391304347826086,0.09085683568889254,0.3072363234392253,positive<10
새 영역 첫 도달,추천/지역 안내 후보,6,46,0.13043478260869565,0.06117757137492025,0.2566613423036133,positive<10
퀘스트·교류,퀘스트 유도 후보,6,46,0.13043478260869565,0.06117757137492025,0.2566613423036133,positive<10
낚시·바다,낚시/바다 유도 후보,7,46,0.15217391304347827,0.07572186234017478,0.28224417406315094,positive<10
자연·채집,기본 반복 행동 후보,6,46,0.13043478260869565,0.06117757137492025,0.2566613423036133,positive<10
