threshold,flagged_devices,positives_captured,precision,recall,flagged_rate
5,78,12,0.15384615384615385,1.0,0.8210526315789474
10,51,11,0.21568627450980393,0.9166666666666666,0.5368421052631579
15,40,11,0.275,0.9166666666666666,0.42105263157894735
20,29,10,0.3448275862068966,0.8333333333333334,0.30526315789473685
30,19,8,0.42105263157894735,0.6666666666666666,0.2
50,15,6,0.4,0.5,0.15789473684210525
100,7,6,0.8571428571428571,0.5,0.07368421052631578
