at,session_id,client_id,variant,arm,trigger,p,intervene,model_version,origin,user_id,started_at,session_updated_at,play_sec,sec_after_event,survived_60s,intervene_bool
2026-09-09 02:28:35.085938+00:00,sess-nsbzaxgdu98mtth6roh,c-6c0f3dda-eb43-42ac-8324-ec1895c78ee4,beta_A,control,quest,0.17102504552968908,True,2026-09-06T14:21:45Z,https://calmforest.cloud,d7fa8f5f-3fd5-45fb-93c4-16c35e8af6fd,2026-09-09 02:24:46.244000+00:00,2026-09-09 02:29:06.175000+00:00,260,31,0,True
2026-09-09 02:28:37.810446+00:00,sess-nsbzaxgdu98mtth6roh,c-6c0f3dda-eb43-42ac-8324-ec1895c78ee4,beta_A,control,quest,0.16738254474114056,True,2026-09-06T14:21:45Z,https://calmforest.cloud,d7fa8f5f-3fd5-45fb-93c4-16c35e8af6fd,2026-09-09 02:24:46.244000+00:00,2026-09-09 02:29:06.175000+00:00,260,28,0,True
2026-09-09 02:28:40.155474+00:00,sess-nsbzaxgdu98mtth6roh,c-6c0f3dda-eb43-42ac-8324-ec1895c78ee4,beta_A,control,quest,0.1706178054857664,True,2026-09-06T14:21:45Z,https://calmforest.cloud,d7fa8f5f-3fd5-45fb-93c4-16c35e8af6fd,2026-09-09 02:24:46.244000+00:00,2026-09-09 02:29:06.175000+00:00,260,26,0,True
2026-09-09 02:28:42.566972+00:00,sess-nsbzaxgdu98mtth6roh,c-6c0f3dda-eb43-42ac-8324-ec1895c78ee4,beta_A,control,quest,0.16055009291646433,True,2026-09-06T14:21:45Z,https://calmforest.cloud,d7fa8f5f-3fd5-45fb-93c4-16c35e8af6fd,2026-09-09 02:24:46.244000+00:00,2026-09-09 02:29:06.175000+00:00,260,23,0,True
2026-09-09 02:28:43.413219+00:00,sess-nsbzaxgdu98mtth6roh,c-6c0f3dda-eb43-42ac-8324-ec1895c78ee4,beta_A,control,quest,0.1734411685272286,True,2026-09-06T14:21:45Z,https://calmforest.cloud,d7fa8f5f-3fd5-45fb-93c4-16c35e8af6fd,2026-09-09 02:24:46.244000+00:00,2026-09-09 02:29:06.175000+00:00,260,22,0,True
2026-09-09 04:03:49.100035+00:00,sess-ioj1cbtdtlimttkpska,c-6c0f3dda-eb43-42ac-8324-ec1895c78ee4,beta_A,treat,time15,0.37401863733658364,False,2026-09-06T14:21:45Z,https://calmforest.cloud,d7fa8f5f-3fd5-45fb-93c4-16c35e8af6fd,2026-09-09 04:03:32.706000+00:00,2026-09-09 04:04:04.324000+00:00,32,15,0,False
2026-09-09 04:03:59.012362+00:00,sess-9kojyyofbnamttkpzbc,c-530d5746-aad0-4dd7-b3f4-50abb3ad39a5,beta_B,treat,time15,0.4652074118290114,True,2026-09-06T14:21:45Z,https://calmforest.cloud,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:03:41.457000+00:00,2026-09-09 04:05:23.785000+00:00,102,84,1,True
2026-09-09 04:06:32.016242+00:00,sess-i14tcd55mfsmttktaei,c-530d5746-aad0-4dd7-b3f4-50abb3ad39a5,beta_B,treat,time15,0.36304131493684283,False,2026-09-06T14:21:45Z,https://calmforest.cloud,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:06:15.795000+00:00,2026-09-09 04:42:45.613000+00:00,2190,2173,1,False
2026-09-09 04:06:41.605891+00:00,sess-i14tcd55mfsmttktaei,c-530d5746-aad0-4dd7-b3f4-50abb3ad39a5,beta_B,treat,quest,0.1705281554187076,True,2026-09-06T14:21:45Z,https://calmforest.cloud,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:06:15.795000+00:00,2026-09-09 04:42:45.613000+00:00,2190,2164,1,True
2026-09-09 04:06:47.159471+00:00,sess-i14tcd55mfsmttktaei,c-530d5746-aad0-4dd7-b3f4-50abb3ad39a5,beta_B,treat,quest,0.17565852675137203,True,2026-09-06T14:21:45Z,https://calmforest.cloud,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:06:15.795000+00:00,2026-09-09 04:42:45.613000+00:00,2190,2158,1,True
2026-09-09 04:06:49.550486+00:00,sess-i14tcd55mfsmttktaei,c-530d5746-aad0-4dd7-b3f4-50abb3ad39a5,beta_B,treat,quest,0.1705089470878371,True,2026-09-06T14:21:45Z,https://calmforest.cloud,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:06:15.795000+00:00,2026-09-09 04:42:45.613000+00:00,2190,2156,1,True
2026-09-09 04:06:50.752034+00:00,sess-i14tcd55mfsmttktaei,c-530d5746-aad0-4dd7-b3f4-50abb3ad39a5,beta_B,treat,quest,0.1736136107232028,True,2026-09-06T14:21:45Z,https://calmforest.cloud,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:06:15.795000+00:00,2026-09-09 04:42:45.613000+00:00,2190,2154,1,True
2026-09-09 04:06:59.435113+00:00,sess-i14tcd55mfsmttktaei,c-530d5746-aad0-4dd7-b3f4-50abb3ad39a5,beta_B,treat,quest,0.15290840545777482,True,2026-09-06T14:21:45Z,https://calmforest.cloud,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:06:15.795000+00:00,2026-09-09 04:42:45.613000+00:00,2190,2146,1,True
2026-09-09 04:07:01.517031+00:00,sess-i14tcd55mfsmttktaei,c-530d5746-aad0-4dd7-b3f4-50abb3ad39a5,beta_B,treat,quest,0.1569944129690446,True,2026-09-06T14:21:45Z,https://calmforest.cloud,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:06:15.795000+00:00,2026-09-09 04:42:45.613000+00:00,2190,2144,1,True
2026-09-09 04:07:23.634614+00:00,sess-i14tcd55mfsmttktaei,c-530d5746-aad0-4dd7-b3f4-50abb3ad39a5,beta_B,treat,quest,0.14928337931659566,True,2026-09-06T14:21:45Z,https://calmforest.cloud,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:06:15.795000+00:00,2026-09-09 04:42:45.613000+00:00,2190,2121,1,True
2026-09-09 04:07:24.538819+00:00,sess-i14tcd55mfsmttktaei,c-530d5746-aad0-4dd7-b3f4-50abb3ad39a5,beta_B,treat,quest,0.16297762088526235,True,2026-09-06T14:21:45Z,https://calmforest.cloud,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:06:15.795000+00:00,2026-09-09 04:42:45.613000+00:00,2190,2121,1,True
