arm,sessions,users,any_intervene,survived_60s,survival_rate,events_per_session,p_max_median
control,36,10,27,30,0.8333333333333334,25.555555555555557,0.39365753619741195
treat,37,8,29,32,0.9142857142857143,27.027027027027028,0.41459230509662187
