variant,testers,tx,inflow_mean,inflow_median,inflow_sum,boost_source_inflow_mean,boost_source_inflow_sum,boost_item_inflow_sum,shop_sell_sum,quest_sum,daily_sum,lucky_sum,outflow_mean,net_mean,econ_days_mean
beta_A,5,742,3820.0,3556.0,19100.0,2692.4,13462.0,7455.0,7512.0,5035.0,394.0,521.0,1528.0,2292.0,5.8
beta_B,5,1014,4488.4,2208.0,22442.0,3374.2,16871.0,0.0,13749.0,2589.0,183.0,350.0,1797.4,2691.0,4.8
