cohort,horizon,eligible,returned,rate,lo,hi
08/15 spike,d1,44,2,0.045454545454545456,0.012554846366981079,0.15135271525303162
08/15 spike,d7,44,1,0.022727272727272728,0.004023148385637013,0.11807979131537633
09/04 spike,d1,30,4,0.13333333333333333,0.05309569424218104,0.2968168394441695
09/04 spike,d7,30,1,0.03333333333333333,0.0059084379948573795,0.16670751396958874
09/10 spike,d1,25,1,0.04,0.007096050386699165,0.19544472405022525
09/10 spike,d7,0,0,,,
non-spike,d1,246,20,0.08130081300813008,0.053243764562454284,0.12223381803387875
non-spike,d7,204,3,0.014705882352941176,0.005013618846058773,0.04233782571556892
