feature,coef,abs_coef
log_early_tracked_events,1.418034104794911,1.418034104794911
is_mobile,-1.2386840839531692,1.2386840839531692
acquisition_source_(direct),-0.5480120476165401,0.5480120476165401
has_early_quest_social,-0.5252666096631091,0.5252666096631091
has_early_connect_ok,0.5030931915795388,0.5030931915795388
is_south_korea,0.490118818872929,0.490118818872929
early_action_kinds,0.4490623240867341,0.4490623240867341
has_early_fishing_sea,0.35986176402105363,0.35986176402105363
has_early_login_screen,0.35440896050782805,0.35440896050782805
has_early_advanced,0.3534420944289906,0.3534420944289906
has_early_craft_home,-0.2573618429719352,0.2573618429719352
is_toss_observed,0.2224170646839921,0.2224170646839921
acquisition_source_infrequent_sklearn,-0.12877364754908274,0.12877364754908274
has_early_connect_fail,-0.12069307428755094,0.12069307428755094
early_area_count,-0.09214904682924599,0.09214904682924599
acquisition_source_ig,-0.0734787590081064,0.0734787590081064
has_early_nature,-0.06556026012816463,0.06556026012816463
log_early_actions,0.04611697230576103,0.04611697230576103
has_early_toss_login,0.03300056365664887,0.03300056365664887
acquisition_source_m.facebook.com,-0.00534707912406728,0.00534707912406728
