model,kind,features,auc,auc_ci_low,auc_ci_high,pr_auc,balanced_acc_at_0_5,balanced_acc_at_median_score
early_tracked_raw_rank,raw_rank_baseline,1,0.8830321285140562,0.7790720493411831,0.9653144016227181,0.6651626228308476,,
compact_plus_profile,cv_logistic,17,0.8463855421686748,0.707222678343368,0.9682391818796484,0.6691494323481901,,0.6877510040160643
date_sensitivity_not_for_serving,cv_logistic,15,0.8012048192771084,0.623469126506024,0.9550485422436641,0.597144507992343,,0.6400602409638554
compact_behavior,cv_logistic,14,0.7881526104417671,0.603359173126615,0.9466847133643983,0.5636265872285608,,0.6400602409638554
early_actions_raw_rank,raw_rank_baseline,1,0.7605421686746988,0.596829474071104,0.9216702174551866,0.5543322337181986,,
early_area_raw_rank,raw_rank_baseline,1,0.7570281124497992,0.5957733896850276,0.9107278138528138,0.43632621439638986,,
channel_raw_rank,raw_rank_baseline,1,0.6044176706827309,0.4520779454022989,0.7481597087796273,0.15804729214340196,,
majority_prevalence,baseline,0,0.5,0.5,0.5,0.12631578947368421,0.5,
