threshold_early_tracked_ge,flagged,positives_captured,precision,recall,balanced_acc
1,95,12,0.12631578947368421,1.0,0.5
2,95,12,0.12631578947368421,1.0,0.5
3,95,12,0.12631578947368421,1.0,0.5
5,78,12,0.15384615384615385,1.0,0.6024096385542168
10,51,11,0.21568627450980393,0.9166666666666666,0.7173694779116466
20,29,10,0.3448275862068966,0.8333333333333334,0.8022088353413654
50,15,6,0.4,0.5,0.6957831325301205
100,7,6,0.8571428571428571,0.5,0.7439759036144578
