variant,testers,active_days_mean,active_days_median,diary_days_mean,diary_days_median,both_days_mean,active_complete,diary_complete,both_complete,sessions_mean,play_min_mean
beta_A,5,5.8,6.0,5.2,5.0,4.6,2,2,2,9.6,166.75666666666666
beta_B,5,4.6,6.0,3.8,4.0,3.4,0,0,0,11.6,736.4466666666667
