event_name,events,devices,first_day,last_day,missing_device_pct
owl_special_deliver,11,9,2026-09-09,2026-09-11,0.0
night_trace,10,5,2026-08-13,2026-09-11,0.0
move_outdoor,10,2,2026-09-11,2026-09-11,0.0
cooking_abandon,9,4,2026-08-16,2026-09-07,0.0
character_change,7,6,2026-08-14,2026-09-10,0.0
coop_build,6,6,2026-09-06,2026-09-10,0.0
album_open,6,2,2026-08-15,2026-09-10,0.0
mist_choice_shown,6,5,2026-09-07,2026-09-11,0.0
mist_choice,6,5,2026-09-07,2026-09-11,0.0
night_visit,5,5,2026-08-13,2026-09-11,0.0
mist_practice_start,5,4,2026-09-07,2026-09-11,0.0
coop_collect,5,4,2026-09-07,2026-09-11,0.0
use_bait,5,1,2026-09-06,2026-09-06,0.0
map_opened,5,5,2026-09-11,2026-09-11,0.0
photo_delete,4,1,2026-09-10,2026-09-10,0.0
mist_practice_step,4,4,2026-09-07,2026-09-11,0.0
mist_practice_end,4,4,2026-09-07,2026-09-11,0.0
use_fert,3,2,2026-09-08,2026-09-11,0.0
store_decor,3,1,2026-09-10,2026-09-10,0.0
mist_practice_soothe,3,3,2026-09-07,2026-09-11,0.0
traffic_source,3,1,2026-08-26,2026-08-26,0.0
carve_abandon,3,1,2026-09-01,2026-09-01,0.0
photo_share,2,2,2026-08-15,2026-09-10,0.0
rain_day,2,1,2026-08-06,2026-08-06,0.0
photo_upload,2,2,2026-08-15,2026-09-10,0.0
weather_event,2,1,2026-08-13,2026-08-13,0.0
mist_practice_offer,1,1,2026-09-09,2026-09-09,0.0
