cohort,devices,two_plus,rate,ci_low,ci_high,no_area,one_area,two_or_more
9/4,29,5,0.1724137931034483,0.07597745271479928,0.34548800572815114,17,7,5
9/10,22,8,0.36363636363636365,0.19732972772607899,0.5704865065628195,12,2,8
