,자연·채집,낚시·바다,퀘스트·교류,제작·집,고급 콘텐츠
자연·채집,6,3,4,3,3
낚시·바다,3,4,3,3,3
퀘스트·교류,4,3,6,3,4
제작·집,3,3,3,3,3
고급 콘텐츠,3,3,4,3,7
