라벨 후보,양성 기기,전체 기기,양성률,95% 하한,95% 상한,modeling_readiness_flag
후속 의도적 행동,12,95,0.12631578947368421,0.07375581468316135,0.2079231544958079,baseline_possible
새 영역 첫 도달,9,95,0.09473684210526316,0.05064366025472933,0.17033212322105415,positive<10
퀘스트·교류,9,95,0.09473684210526316,0.05064366025472933,0.17033212322105415,positive<10
낚시·바다,8,95,0.08421052631578947,0.04328759724614253,0.1574537909952457,positive<10
자연·채집,7,95,0.07368421052631578,0.03614850970030849,0.1443584833066845,positive<10
