새 영역 후보,도달 기기,전체 기기,도달률,95% 하한,95% 상한
자연·채집,0,95,0.0,0.0,0.038866226366226365
낚시·바다,5,95,0.05263157894736842,0.022687778480124224,0.11735042405807834
퀘스트·교류,3,95,0.031578947368421054,0.010796943829702532,0.08877246823970955
제작·집,3,95,0.031578947368421054,0.010796943829702532,0.08877246823970955
고급 콘텐츠,2,95,0.021052631578947368,0.0057923854515239195,0.07354263138349293
