channel_segment,devices,later_active_devices,later_new_area_devices,later_quest_social_devices,later_fishing_sea_devices,later_nature_devices,early_action_events,later_action_events,later_active_rate,later_new_area_rate,later_quest_social_rate,later_fishing_sea_rate,later_nature_rate
메인·웹만,49,4,3,3,1,1,11,52,0.08163265306122448,0.061224489795918366,0.061224489795918366,0.02040816326530612,0.02040816326530612
토스 관측,46,8,6,6,7,6,869,2456,0.17391304347826086,0.13043478260869565,0.13043478260869565,0.15217391304347827,0.13043478260869565
